               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.045757,            0.052178,            0.019793,              0.1123,              0.1636,             0.08691,            0.038548,            0.065594,            0.061523,            0.037451,           0.0082675,           0.0082675,           0.0082675
                  37,            0.046379,            0.051592,             0.01893,            0.089813,               0.153,            0.070321,            0.029257,            0.066281,            0.062927,            0.044183,            0.008218,            0.008218,            0.008218
                  38,            0.045108,            0.053573,            0.019996,             0.11546,              0.1323,            0.084358,            0.032743,            0.065014,            0.062744,             0.03338,           0.0081685,           0.0081685,           0.0081685
                  39,            0.045388,            0.051181,            0.018884,             0.13311,             0.13809,            0.079972,            0.033349,             0.06567,            0.065674,            0.037646,            0.008119,            0.008119,            0.008119
                  40,            0.044421,             0.04919,            0.018337,             0.16169,             0.20595,            0.087376,            0.042105,            0.066409,            0.059586,            0.038708,           0.0080695,           0.0080695,           0.0080695
                  41,            0.044852,            0.047832,            0.017734,             0.18386,             0.16549,             0.10781,            0.045547,            0.064574,            0.061157,            0.038855,             0.00802,             0.00802,             0.00802
                  42,            0.044572,            0.046757,            0.016902,             0.23183,             0.11363,            0.086054,            0.038917,            0.068034,             0.06073,            0.039233,           0.0079705,           0.0079705,           0.0079705
                  43,            0.044362,            0.045999,             0.01719,               0.166,             0.14238,               0.107,             0.04718,            0.063164,            0.060913,            0.035315,            0.007921,            0.007921,            0.007921
                  44,            0.042441,             0.04844,            0.017501,             0.12633,             0.13581,            0.096794,            0.045272,            0.064503,            0.067184,            0.037048,           0.0078715,           0.0078715,           0.0078715
                  45,            0.041948,            0.048569,             0.01745,             0.16597,             0.22108,            0.099539,            0.047767,            0.063281,            0.063675,            0.036377,            0.007822,            0.007822,            0.007822
                  46,            0.043242,            0.047705,            0.016208,             0.19744,             0.22182,             0.11707,            0.048109,            0.063005,            0.063171,            0.038812,           0.0077725,           0.0077725,           0.0077725
                  47,            0.043324,             0.04822,            0.016287,             0.24854,             0.22286,             0.15021,            0.070686,            0.062154,            0.063095,            0.040601,            0.007723,            0.007723,            0.007723
                  48,            0.042812,            0.047056,            0.016703,             0.24791,             0.20922,             0.14151,            0.057882,            0.064594,            0.062653,            0.038721,           0.0076735,           0.0076735,           0.0076735
                  49,            0.042873,            0.047076,            0.015664,             0.19141,             0.15981,             0.09775,            0.039181,            0.067292,            0.068924,            0.039319,            0.007624,            0.007624,            0.007624
                  50,            0.042176,            0.047127,            0.015685,             0.17893,             0.25243,             0.11622,            0.046285,            0.064871,            0.063705,            0.036938,           0.0075745,           0.0075745,           0.0075745
