               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10847,            0.050327,            0.046342,           0.0063711,             0.25748,           0.0070936,           0.0020146,            0.098253,            0.049381,            0.043405,              0.0766,              0.0026,              0.0026
                   1,            0.090607,            0.054047,            0.041391,            0.031253,            0.038971,            0.015052,           0.0051498,            0.088389,            0.055387,            0.038284,            0.050551,            0.003551,            0.003551
                   2,            0.079357,            0.061792,            0.037315,             0.27129,            0.045511,            0.027586,            0.011148,            0.083051,            0.058592,            0.036836,             0.02272,             0.00272,             0.00272
